eval_count,tr_idx,cont_length,disc_length,num_points,n_successes,n_failures,restarted_this_step
205,1,0.2,8,41,1,0,False
206,0,0.2,8,29,1,0,False
206,1,0.2,8,41,1,0,False
207,0,0.2,8,30,0,1,False
207,1,0.2,8,41,1,0,False
208,0,0.2,8,31,0,2,False
208,1,0.2,8,41,1,0,False
209,0,0.2,8,32,0,3,False
209,1,0.2,8,41,1,0,False
210,0,0.2,8,33,0,4,False
210,1,0.2,8,41,1,0,False
211,0,0.2,8,34,0,5,False
211,1,0.2,8,41,1,0,False
212,0,0.2,8,35,0,6,False
212,1,0.2,8,41,1,0,False
213,0,0.2,8,36,0,7,False
213,1,0.2,8,41,1,0,False
214,0,0.2,8,37,0,8,False
214,1,0.2,8,41,1,0,False
215,0,0.2,8,38,0,9,False
215,1,0.2,8,41,1,0,False
216,0,0.2,8,39,0,10,False
216,1,0.2,8,41,1,0,False
217,0,0.2,8,40,0,11,False
217,1,0.2,8,41,1,0,False
218,0,0.2,8,41,0,12,False
218,1,0.2,8,41,1,0,False
219,0,0.2,8,42,0,13,False
219,1,0.2,8,41,1,0,False
220,0,0.2,8,43,0,14,False
220,1,0.2,8,41,1,0,False
221,0,0.2,8,44,0,15,False
221,1,0.2,8,41,1,0,False
222,0,0.2,8,45,0,16,False
222,1,0.2,8,41,1,0,False
223,0,0.2,8,46,0,17,False
223,1,0.2,8,41,1,0,False
224,0,0.2,8,47,0,18,False
224,1,0.2,8,41,1,0,False
225,0,0.2,8,48,0,19,False
225,1,0.2,8,41,1,0,False
226,0,0.2,8,49,0,20,False
226,1,0.2,8,41,1,0,False
227,0,0.2,8,50,0,21,False
227,1,0.2,8,41,1,0,False
228,0,0.2,8,50,0,21,False
228,1,0.2,8,35,0,1,False
229,0,0.1,4,30,0,0,False
229,1,0.2,8,35,0,1,False
230,0,0.1,4,31,0,1,False
230,1,0.2,8,35,0,1,False
231,0,0.1,4,32,0,2,False
231,1,0.2,8,35,0,1,False
232,0,0.1,4,33,0,3,False
232,1,0.2,8,35,0,1,False
233,0,0.1,4,34,0,4,False
233,1,0.2,8,35,0,1,False
234,0,0.1,4,35,0,5,False
234,1,0.2,8,35,0,1,False
235,0,0.1,4,35,0,5,False
235,1,0.2,8,36,0,2,False
236,0,0.1,4,35,0,5,False
236,1,0.2,8,37,0,3,False
237,0,0.1,4,36,0,6,False
237,1,0.2,8,37,0,3,False
238,0,0.1,4,36,0,6,False
238,1,0.2,8,38,0,4,False
239,0,0.1,4,36,0,6,False
239,1,0.2,8,39,0,5,False
240,0,0.1,4,36,0,6,False
240,1,0.2,8,40,0,6,False
241,0,0.1,4,36,0,6,False
241,1,0.2,8,41,0,7,False
242,0,0.1,4,37,0,7,False
242,1,0.2,8,41,0,7,False
243,0,0.1,4,38,0,8,False
243,1,0.2,8,41,0,7,False
244,0,0.1,4,39,0,9,False
244,1,0.2,8,41,0,7,False
245,0,0.1,4,39,0,9,False
245,1,0.2,8,42,0,8,False
246,0,0.1,4,39,0,9,False
246,1,0.2,8,43,0,9,False
247,0,0.1,4,40,0,10,False
247,1,0.2,8,43,0,9,False
248,0,0.1,4,40,0,10,False
248,1,0.2,8,44,0,10,False
249,0,0.1,4,40,0,10,False
249,1,0.2,8,45,0,11,False
250,0,0.1,4,40,0,10,False
250,1,0.2,8,46,1,0,False
251,0,0.1,4,40,0,10,False
251,1,0.2,8,47,0,1,False
252,0,0.1,4,40,0,10,False
252,1,0.2,8,48,0,2,False
253,0,0.1,4,40,0,10,False
253,1,0.2,8,49,0,3,False
254,0,0.1,4,40,0,10,False
254,1,0.2,8,50,0,4,False
255,0,0.1,4,40,0,10,False
255,1,0.2,8,51,0,5,False
256,0,0.1,4,40,0,10,False
256,1,0.2,8,52,0,6,False
257,0,0.1,4,40,0,10,False
257,1,0.2,8,53,0,7,False
258,0,0.1,4,40,0,10,False
258,1,0.2,8,54,0,8,False
259,0,0.1,4,40,0,10,False
259,1,0.2,8,55,0,9,False
260,0,0.1,4,41,0,11,False
260,1,0.2,8,55,0,9,False
261,0,0.1,4,41,0,11,False
261,1,0.2,8,56,0,10,False
262,0,0.1,4,42,0,12,False
262,1,0.2,8,56,0,10,False
263,0,0.1,4,43,0,13,False
263,1,0.2,8,56,0,10,False
264,0,0.1,4,44,0,14,False
264,1,0.2,8,56,0,10,False
265,0,0.1,4,44,0,14,False
265,1,0.2,8,57,0,11,False
266,0,0.1,4,44,0,14,False
266,1,0.2,8,58,0,12,False
267,0,0.1,4,45,0,15,False
267,1,0.2,8,58,0,12,False
268,0,0.1,4,45,0,15,False
268,1,0.2,8,59,0,13,False
269,0,0.1,4,45,0,15,False
269,1,0.2,8,60,0,14,False
270,0,0.1,4,45,0,15,False
270,1,0.2,8,61,0,15,False
271,0,0.1,4,45,0,15,False
271,1,0.2,8,62,0,16,False
272,0,0.1,4,45,0,15,False
272,1,0.2,8,63,0,17,False
273,0,0.1,4,45,0,15,False
273,1,0.2,8,64,0,18,False
274,0,0.1,4,45,0,15,False
274,1,0.2,8,65,0,19,False
275,0,0.1,4,45,0,15,False
275,1,0.2,8,66,1,0,False
276,0,0.1,4,45,0,15,False
276,1,0.2,8,67,0,1,False
277,0,0.1,4,46,0,16,False
277,1,0.2,8,67,0,1,False
278,0,0.1,4,47,0,17,False
278,1,0.2,8,67,0,1,False
279,0,0.1,4,48,0,18,False
279,1,0.2,8,67,0,1,False
280,0,0.1,4,49,0,19,False
280,1,0.2,8,67,0,1,False
281,0,0.1,4,50,0,20,False
281,1,0.2,8,67,0,1,False
282,0,0.1,4,51,0,21,False
282,1,0.2,8,67,0,1,False
283,0,0.05,2,7,0,0,False
283,1,0.2,8,67,0,1,False
284,0,0.05,2,8,0,1,False
284,1,0.2,8,67,0,1,False
285,0,0.05,2,9,0,2,False
285,1,0.2,8,67,0,1,False
286,0,0.05,2,10,0,3,False
286,1,0.2,8,67,0,1,False
287,0,0.05,2,11,0,4,False
287,1,0.2,8,67,0,1,False
288,0,0.05,2,12,0,5,False
288,1,0.2,8,67,0,1,False
289,0,0.05,2,13,0,6,False
289,1,0.2,8,67,0,1,False
290,0,0.05,2,14,0,7,False
290,1,0.2,8,67,0,1,False
291,0,0.05,2,15,0,8,False
291,1,0.2,8,67,0,1,False
292,0,0.05,2,16,0,9,False
292,1,0.2,8,67,0,1,False
293,0,0.05,2,17,0,10,False
293,1,0.2,8,67,0,1,False
294,0,0.05,2,18,0,11,False
294,1,0.2,8,67,0,1,False
295,0,0.05,2,19,0,12,False
295,1,0.2,8,67,0,1,False
296,0,0.05,2,20,0,13,False
296,1,0.2,8,67,0,1,False
297,0,0.05,2,21,0,14,False
297,1,0.2,8,67,0,1,False
298,0,0.05,2,22,0,15,False
298,1,0.2,8,67,0,1,False
299,0,0.05,2,23,0,16,False
299,1,0.2,8,67,0,1,False
300,0,0.05,2,24,0,17,False
300,1,0.2,8,67,0,1,False
301,0,0.05,2,25,0,18,False
301,1,0.2,8,67,0,1,False
302,0,0.05,2,26,0,19,False
302,1,0.2,8,67,0,1,False
303,0,0.05,2,27,0,20,False
303,1,0.2,8,67,0,1,False
304,0,0.05,2,28,0,21,False
304,1,0.2,8,67,0,1,False
305,0,0.025,1,24,0,0,False
305,1,0.2,8,67,0,1,False
306,0,0.025,1,25,0,1,False
306,1,0.2,8,67,0,1,False
307,0,0.025,1,26,0,2,False
307,1,0.2,8,67,0,1,False
308,0,0.025,1,27,0,3,False
308,1,0.2,8,67,0,1,False
309,0,0.025,1,27,0,3,False
309,1,0.2,8,68,0,2,False
310,0,0.025,1,5,0,3,False
310,1,0.2,8,69,0,3,False
311,0,0.025,1,5,0,3,False
311,1,0.2,8,70,0,4,False
312,0,0.025,1,5,0,4,False
312,1,0.2,8,71,0,4,False
313,0,0.025,1,5,0,5,False
313,1,0.2,8,72,0,4,False
314,0,0.025,1,5,0,6,False
314,1,0.2,8,73,0,4,False
315,0,0.025,1,5,0,7,False
315,1,0.2,8,74,0,4,False
316,0,0.025,1,5,0,7,False
316,1,0.2,8,75,0,5,False
317,0,0.025,1,5,0,7,False
317,1,0.2,8,76,0,6,False
318,0,0.025,1,5,0,7,False
318,1,0.2,8,77,0,7,False
319,0,0.025,1,5,0,7,False
319,1,0.2,8,78,0,8,False
320,0,0.025,1,5,0,7,False
320,1,0.2,8,79,0,9,False
321,0,0.025,1,5,0,7,False
321,1,0.2,8,80,0,10,False
322,0,0.025,1,5,0,7,False
322,1,0.2,8,81,0,11,False
323,0,0.025,1,5,0,7,False
323,1,0.2,8,82,0,12,False
324,0,0.025,1,5,0,7,False
324,1,0.2,8,83,0,13,False
325,0,0.025,1,5,0,7,False
325,1,0.2,8,84,0,14,False
326,0,0.025,1,5,0,7,False
326,1,0.2,8,85,0,15,False
327,0,0.025,1,5,0,7,False
327,1,0.2,8,86,0,16,False
328,0,0.025,1,5,0,7,False
328,1,0.2,8,87,0,17,False
329,0,0.025,1,5,0,7,False
329,1,0.2,8,88,0,18,False
330,0,0.025,1,5,0,7,False
330,1,0.2,8,89,0,19,False
331,0,0.025,1,5,0,7,False
331,1,0.2,8,90,0,20,False
332,0,0.025,1,5,0,7,False
332,1,0.2,8,91,0,21,False
333,0,0.025,1,5,0,7,False
333,1,0.1,4,62,0,0,False
334,0,0.025,1,5,0,7,False
334,1,0.1,4,63,0,1,False
335,0,0.025,1,5,0,7,False
335,1,0.1,4,64,0,2,False
336,0,0.025,1,5,0,7,False
336,1,0.1,4,65,0,3,False
337,0,0.025,1,5,0,7,False
337,1,0.1,4,66,0,4,False
338,0,0.025,1,5,0,7,False
338,1,0.1,4,67,0,5,False
339,0,0.025,1,5,0,7,False
339,1,0.1,4,68,0,6,False
340,0,0.025,1,5,0,7,False
340,1,0.1,4,69,0,7,False
341,0,0.025,1,5,0,7,False
341,1,0.1,4,70,0,8,False
342,0,0.025,1,5,0,7,False
342,1,0.1,4,71,0,9,False
343,0,0.025,1,5,0,7,False
343,1,0.1,4,72,0,10,False
344,0,0.025,1,5,0,7,False
344,1,0.1,4,73,0,11,False
345,0,0.025,1,5,0,7,False
345,1,0.1,4,74,0,12,False
346,0,0.025,1,5,0,7,False
346,1,0.1,4,75,0,13,False
347,0,0.025,1,5,0,7,False
347,1,0.1,4,76,0,14,False
348,0,0.025,1,5,0,7,False
348,1,0.1,4,77,0,15,False
349,0,0.025,1,5,0,7,False
349,1,0.1,4,78,0,16,False
350,0,0.025,1,5,0,7,False
350,1,0.1,4,79,0,17,False
351,0,0.025,1,5,0,7,False
351,1,0.1,4,80,0,18,False
352,0,0.025,1,5,0,7,False
352,1,0.1,4,81,0,19,False
353,0,0.025,1,5,0,7,False
353,1,0.1,4,82,0,20,False
354,0,0.025,1,5,0,7,False
354,1,0.1,4,83,0,21,False
355,0,0.025,1,5,0,7,False
355,1,0.05,2,20,0,0,False
356,0,0.025,1,5,0,7,False
356,1,0.05,2,21,0,1,False
357,0,0.025,1,5,0,7,False
357,1,0.05,2,22,0,2,False
358,0,0.025,1,5,0,7,False
358,1,0.05,2,23,0,3,False
359,0,0.025,1,5,0,7,False
359,1,0.05,2,24,0,4,False
360,0,0.025,1,5,0,7,False
360,1,0.05,2,25,0,5,False
361,0,0.025,1,5,0,7,False
361,1,0.05,2,26,0,6,False
362,0,0.025,1,5,0,7,False
362,1,0.05,2,27,0,7,False
363,0,0.025,1,5,0,7,False
363,1,0.05,2,28,0,8,False
364,0,0.025,1,5,0,7,False
364,1,0.05,2,29,0,9,False
365,0,0.025,1,5,0,7,False
365,1,0.05,2,30,0,10,False
366,0,0.025,1,5,0,7,False
366,1,0.05,2,31,0,11,False
367,0,0.025,1,5,0,7,False
367,1,0.05,2,32,0,12,False
368,0,0.025,1,5,0,7,False
368,1,0.05,2,33,0,13,False
369,0,0.025,1,5,0,7,False
369,1,0.05,2,34,0,14,False
370,0,0.025,1,5,0,7,False
370,1,0.05,2,35,0,15,False
371,0,0.025,1,5,0,7,False
371,1,0.05,2,36,0,16,False
372,0,0.025,1,5,0,7,False
372,1,0.05,2,37,0,17,False
373,0,0.025,1,5,0,7,False
373,1,0.05,2,38,0,18,False
374,0,0.025,1,5,0,7,False
374,1,0.05,2,39,0,19,False
375,0,0.025,1,5,0,7,False
375,1,0.05,2,40,0,20,False
376,0,0.025,1,5,0,7,False
376,1,0.05,2,41,0,21,False
377,0,0.025,1,5,0,7,False
377,1,0.025,1,26,0,0,False
378,0,0.025,1,5,0,7,False
378,1,0.025,1,27,0,1,False
379,0,0.025,1,5,0,7,False
379,1,0.025,1,28,0,2,False
380,0,0.025,1,5,0,7,False
380,1,0.025,1,29,0,3,False
381,0,0.025,1,5,0,7,False
381,1,0.025,1,30,0,4,False
382,0,0.025,1,5,0,7,False
382,1,0.025,1,31,0,5,False
383,0,0.025,1,5,0,7,False
383,1,0.025,1,32,0,6,False
384,0,0.025,1,5,0,7,False
384,1,0.025,1,33,0,7,False
385,0,0.025,1,5,0,7,False
385,1,0.025,1,34,0,8,False
386,0,0.025,1,5,0,7,False
386,1,0.025,1,35,0,9,False
387,0,0.025,1,5,0,7,False
387,1,0.025,1,36,0,10,False
388,0,0.025,1,5,0,7,False
388,1,0.025,1,37,0,11,False
389,0,0.025,1,5,0,7,False
389,1,0.025,1,38,0,12,False
390,0,0.025,1,5,0,7,False
390,1,0.025,1,39,0,13,False
391,0,0.025,1,5,0,7,False
391,1,0.025,1,40,0,14,False
392,0,0.025,1,5,0,7,False
392,1,0.025,1,41,0,15,False
393,0,0.025,1,5,0,8,False
393,1,0.025,1,41,0,15,False
394,0,0.025,1,6,0,9,False
394,1,0.025,1,41,0,15,False
395,0,0.025,1,7,0,10,False
395,1,0.025,1,41,0,15,False
396,0,0.025,1,8,0,11,False
396,1,0.025,1,41,0,15,False
397,0,0.025,1,9,0,12,False
397,1,0.025,1,41,0,15,False
398,0,0.025,1,10,0,13,False
398,1,0.025,1,41,0,15,False
399,0,0.025,1,11,0,14,False
399,1,0.025,1,41,0,15,False
400,0,0.025,1,12,0,15,False
400,1,0.025,1,41,0,15,False
